                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97486,                0.91958,                 1.0374,                0.91723,                 0.8991,                0.94748,                0.67395,                 1.0325,                0.73341,                 1.0593,             0.00018111,             0.00018111,             0.00018111
                     36,                0.97759,                0.91581,                 1.0403,                0.90107,                0.90334,                0.94166,                0.67075,                 1.0449,                0.74607,                 1.0673,             0.00018044,             0.00018044,             0.00018044
                     37,                0.97263,                 0.9014,                 1.0347,                0.90819,                0.91064,                0.94562,                0.66963,                 1.0515,                0.72968,                 1.0733,             0.00017976,             0.00017976,             0.00017976
                     38,                0.97266,                0.90261,                 1.0392,                0.92747,                0.90683,                 0.9475,                0.67339,                 1.0277,                 0.7142,                 1.0577,             0.00017909,             0.00017909,             0.00017909
                     39,                0.95948,                0.89593,                 1.0255,                 0.8982,                0.91095,                0.94682,                0.66952,                 1.0339,                0.71583,                 1.0648,             0.00017842,             0.00017842,             0.00017842
                     40,                0.95696,                 0.8769,                 1.0302,                0.92316,                0.90912,                0.95015,                0.67675,                 1.0388,                0.70262,                  1.063,             0.00017775,             0.00017775,             0.00017775
                     41,                0.95686,                0.87145,                 1.0289,                0.91886,                0.91535,                0.94904,                0.67464,                 1.0402,                0.70954,                 1.0641,             0.00017707,             0.00017707,             0.00017707
                     42,                0.95171,                0.86681,                 1.0353,                0.93633,                0.89569,                  0.949,                0.67244,                 1.0393,                0.69746,                 1.0648,              0.0001764,              0.0001764,              0.0001764
                     43,                0.93857,                0.84689,                 1.0145,                0.91939,                0.91057,                0.95185,                0.67334,                 1.0407,                0.69592,                 1.0673,             0.00017573,             0.00017573,             0.00017573
                     44,                0.96011,                0.86708,                 1.0309,                0.92129,                0.91399,                0.94989,                 0.6746,                 1.0315,                0.69829,                 1.0646,             0.00017505,             0.00017505,             0.00017505
                     45,                0.94829,                0.84623,                  1.025,                0.92666,                0.91597,                0.95292,                0.67369,                   1.05,                0.68948,                 1.0699,             0.00017438,             0.00017438,             0.00017438
                     46,                0.94432,                0.84745,                 1.0196,                0.93268,                0.91633,                0.95135,                0.67472,                 1.0427,                0.68632,                 1.0637,             0.00017371,             0.00017371,             0.00017371
                     47,                0.93769,                0.82653,                 1.0146,                0.92541,                0.91656,                 0.9505,                0.67487,                 1.0364,                0.68655,                 1.0642,             0.00017303,             0.00017303,             0.00017303
                     48,                0.94154,                0.82698,                 1.0137,                0.92316,                0.91405,                0.94981,                0.67573,                 1.0373,                0.67655,                 1.0617,             0.00017236,             0.00017236,             0.00017236
                     49,                0.92454,                0.81457,                 1.0134,                0.91454,                0.91574,                0.94924,                0.67802,                 1.0278,                0.68814,                 1.0621,             0.00017169,             0.00017169,             0.00017169
                     50,                0.92046,                0.81549,                 1.0094,                0.92381,                0.90871,                0.95276,                0.67539,                 1.0498,                0.68362,                  1.065,             0.00017101,             0.00017101,             0.00017101
                     51,                0.92713,                 0.8194,                 1.0173,                0.92827,                0.90576,                0.95357,                0.67887,                 1.0321,                0.68786,                 1.0619,             0.00017034,             0.00017034,             0.00017034
                     52,                0.90853,                0.79349,                 1.0052,                0.92481,                0.91371,                0.95502,                0.67976,                 1.0333,                0.68018,                 1.0586,             0.00016967,             0.00016967,             0.00016967
                     53,                0.92015,                0.80053,                 1.0126,                0.91338,                  0.921,                0.95382,                0.67908,                 1.0305,                0.67689,                 1.0668,             0.00016899,             0.00016899,             0.00016899
                     54,                0.92238,                0.80133,                 1.0083,                0.92107,                 0.9276,                0.95553,                  0.676,                 1.0478,                0.67323,                 1.0694,             0.00016832,             0.00016832,             0.00016832
                     55,                0.91235,                0.78899,                 1.0105,                0.93562,                0.91637,                 0.9548,                0.67822,                 1.0405,                0.65919,                 1.0645,             0.00016765,             0.00016765,             0.00016765
                     56,                0.90681,                0.78094,                 1.0049,                0.93661,                0.92263,                0.95636,                0.67942,                 1.0399,                0.66248,                 1.0699,             0.00016697,             0.00016697,             0.00016697
                     57,                0.91497,                0.79232,                 1.0067,                0.93641,                0.91331,                 0.9537,                0.67838,                 1.0309,                0.67633,                 1.0686,              0.0001663,              0.0001663,              0.0001663
                     58,                0.90155,                0.77095,                 1.0058,                0.91549,                0.91516,                0.95469,                0.67728,                 1.0386,                0.66982,                 1.0706,             0.00016563,             0.00016563,             0.00016563
                     59,                0.90862,                0.77102,                 1.0049,                0.92523,                0.92781,                 0.9587,                0.68292,                 1.0285,                0.65676,                 1.0653,             0.00016495,             0.00016495,             0.00016495
                     60,                0.91342,                0.78322,                  1.007,                0.92072,                0.92487,                0.95501,                0.68283,                 1.0194,                0.65206,                 1.0556,             0.00016428,             0.00016428,             0.00016428
                     61,                0.90484,                0.76516,                 1.0092,                0.93051,                0.92854,                0.95932,                0.68619,                 1.0235,                0.64848,                 1.0581,             0.00016361,             0.00016361,             0.00016361
                     62,                0.89905,                0.76447,                 1.0021,                0.93389,                0.93046,                0.95336,                0.67759,                 1.0467,                0.65695,                  1.066,             0.00016293,             0.00016293,             0.00016293
                     63,                0.90897,                0.76504,                 1.0064,                0.92564,                0.93301,                 0.9594,                0.67829,                 1.0348,                0.64861,                 1.0667,             0.00016226,             0.00016226,             0.00016226
                     64,                0.89256,                0.75653,                 1.0022,                0.93673,                0.92519,                0.95814,                0.68362,                 1.0309,                0.64479,                 1.0645,             0.00016159,             0.00016159,             0.00016159
                     65,                0.88326,                0.73919,                0.99153,                0.93072,                0.93029,                0.96068,                0.67955,                 1.0314,                0.64265,                 1.0655,             0.00016092,             0.00016092,             0.00016092
                     66,                0.89273,                0.74917,                 1.0071,                0.93216,                0.92736,                0.95878,                0.68158,                 1.0318,                0.63762,                 1.0674,             0.00016024,             0.00016024,             0.00016024
                     67,                0.88802,                0.73705,                0.99666,                0.91868,                0.93029,                0.95326,                0.67883,                 1.0399,                0.64163,                 1.0746,             0.00015957,             0.00015957,             0.00015957
                     68,                0.89195,                0.74069,                0.99786,                0.93414,                0.93615,                0.95966,                0.67611,                 1.0509,                0.64509,                 1.0806,              0.0001589,              0.0001589,              0.0001589
