                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2311,                 1.4573,                 1.1429,                0.79127,                 0.7778,                0.83235,                0.56702,                 1.1352,                 1.0234,                 1.0855,             0.00018496,             0.00018496,             0.00018496
                     35,                 1.2457,                 1.4718,                 1.1466,                0.78487,                0.77779,                 0.8376,                0.56797,                 1.1492,                 1.0348,                 1.0958,             0.00018438,             0.00018438,             0.00018438
                     36,                 1.2384,                 1.4414,                 1.1463,                0.78425,                 0.7904,                0.83713,                0.57482,                 1.1422,                 1.0147,                 1.0842,              0.0001838,              0.0001838,              0.0001838
                     37,                 1.2443,                 1.4614,                 1.1517,                 0.8121,                0.78001,                0.84008,                0.57288,                 1.1495,                 1.0014,                 1.0822,             0.00018323,             0.00018323,             0.00018323
                     38,                 1.2247,                 1.4291,                 1.1313,                0.81428,                 0.7831,                0.84328,                0.58158,                 1.1158,                0.98588,                 1.0752,             0.00018265,             0.00018265,             0.00018265
                     39,                  1.213,                 1.4135,                 1.1234,                0.77316,                0.80149,                0.83824,                0.57553,                 1.1315,                 1.0046,                 1.0805,             0.00018207,             0.00018207,             0.00018207
                     40,                  1.218,                 1.4152,                 1.1325,                0.80828,                0.79628,                0.84682,                0.57948,                 1.1303,                0.97109,                 1.0788,              0.0001815,              0.0001815,              0.0001815
                     41,                  1.215,                 1.3893,                 1.1377,                0.78575,                0.81655,                0.85067,                0.58328,                 1.1247,                0.98268,                  1.082,             0.00018092,             0.00018092,             0.00018092
                     42,                 1.2141,                 1.3898,                 1.1335,                0.80371,                 0.8186,                0.85915,                0.59462,                 1.1118,                0.95604,                 1.0698,             0.00018034,             0.00018034,             0.00018034
                     43,                    1.2,                  1.365,                 1.1298,                 0.8011,                0.82668,                 0.8641,                0.59445,                 1.1202,                0.96728,                 1.0719,             0.00017976,             0.00017976,             0.00017976
                     44,                 1.1943,                 1.3205,                 1.1167,                0.80724,                0.81028,                0.85361,                0.58589,                 1.1174,                0.97111,                 1.0795,             0.00017919,             0.00017919,             0.00017919
                     45,                 1.2013,                 1.3538,                 1.1262,                0.80415,                0.81015,                0.85375,                0.58679,                 1.1196,                0.96825,                 1.0744,             0.00017861,             0.00017861,             0.00017861
                     46,                 1.2005,                 1.3543,                 1.1318,                0.80441,                0.82833,                 0.8623,                0.59611,                 1.1158,                0.95168,                 1.0718,             0.00017803,             0.00017803,             0.00017803
